id	condicion	especie
1	vivo	Stipa
2	vivo	Stipa
3	vivo	Stipa
4	vivo	Stipa
5	vivo	Stipa
6	vivo	Stipa
7	vivo	Stipa
8	vivo	Stipa
9	vivo	Stipa
10	vivo	Stipa
11	vivo	Stipa
12	vivo	Stipa
13	vivo	Stipa
14	vivo	Stipa
15	vivo	Stipa
16	vivo	Stipa
17	vivo	Stipa
18	vivo	Stipa
19	vivo	Stipa
20	vivo	Stipa
21	vivo	Stipa
22	vivo	Stipa
23	vivo	Stipa
24	vivo	Stipa
25	vivo	Stipa
26	vivo	Stipa
27	vivo	Stipa
28	vivo	Stipa
29	vivo	Stipa
30	vivo	Stipa
31	vivo	Stipa
32	vivo	Stipa
33	vivo	Stipa
34	vivo	Stipa
35	vivo	Stipa
36	vivo	Stipa
37	vivo	Stipa
38	vivo	Stipa
39	vivo	Stipa
40	vivo	Stipa
41	vivo	Stipa
42	vivo	Stipa
43	vivo	Stipa
44	vivo	Stipa
45	vivo	Stipa
46	vivo	Festuca
47	vivo	Festuca
48	vivo	Festuca
49	vivo	Festuca
50	vivo	Festuca
51	vivo	Festuca
52	vivo	Festuca
53	vivo	Festuca
54	vivo	Festuca
55	vivo	Festuca
56	vivo	Festuca
57	vivo	Festuca
58	vivo	Festuca
59	muerto	Stipa
60	muerto	Stipa
61	muerto	Stipa
62	muerto	Stipa
63	muerto	Stipa
64	muerto	Festuca
65	muerto	Festuca
66	muerto	Festuca
67	muerto	Festuca
68	muerto	Festuca
69	muerto	Festuca
70	muerto	Festuca
71	muerto	Festuca
72	muerto	Festuca
73	muerto	Festuca
74	muerto	Festuca
75	muerto	Festuca
76	muerto	Festuca
77	muerto	Festuca
78	muerto	Festuca
79	muerto	Festuca
80	muerto	Festuca
81	muerto	Festuca
82	muerto	Festuca
83	muerto	Festuca
84	muerto	Festuca
85	muerto	Festuca
86	muerto	Festuca
87	muerto	Festuca
88	muerto	Festuca
89	muerto	Festuca
90	muerto	Festuca
91	muerto	Festuca
92	muerto	Festuca
93	muerto	Festuca
94	muerto	Festuca
95	muerto	Festuca
96	muerto	Festuca
97	muerto	Festuca
98	muerto	Festuca
99	muerto	Festuca
100	muerto	Festuca
