id	especie	condicion
1	Festuca	muerto
2	Festuca	muerto
3	Festuca	muerto
4	Festuca	muerto
5	Festuca	muerto
6	Festuca	muerto
7	Festuca	muerto
8	Festuca	muerto
9	Festuca	muerto
10	Festuca	muerto
11	Festuca	muerto
12	Festuca	muerto
13	Festuca	muerto
14	Festuca	muerto
15	Festuca	muerto
16	Festuca	muerto
17	Festuca	muerto
18	Festuca	muerto
19	Festuca	muerto
20	Festuca	muerto
21	Festuca	muerto
22	Festuca	muerto
23	Festuca	muerto
24	Festuca	muerto
25	Festuca	muerto
26	Festuca	muerto
27	Festuca	muerto
28	Festuca	muerto
29	Festuca	muerto
30	Festuca	muerto
31	Festuca	muerto
32	Festuca	muerto
33	Festuca	muerto
34	Festuca	muerto
35	Festuca	muerto
36	Festuca	muerto
37	Festuca	muerto
38	Festuca	muerto
39	Festuca	muerto
40	Festuca	muerto
41	Festuca	muerto
42	Festuca	muerto
43	Festuca	muerto
44	Festuca	muerto
45	Festuca	muerto
1	Stipa	muerto
2	Stipa	muerto
3	Stipa	muerto
4	Stipa	muerto
5	Stipa	muerto
6	Stipa	muerto
7	Stipa	muerto
8	Stipa	muerto
9	Stipa	muerto
10	Stipa	muerto
11	Stipa	muerto
12	Stipa	muerto
13	Stipa	muerto
14	Stipa	muerto
15	Stipa	muerto
16	Stipa	muerto
17	Stipa	muerto
18	Stipa	muerto
19	Stipa	muerto
20	Stipa	muerto
21	Stipa	muerto
22	Stipa	muerto
23	Stipa	muerto
24	Stipa	muerto
25	Stipa	muerto
26	Stipa	muerto
27	Stipa	muerto
28	Stipa	muerto
29	Stipa	muerto
30	Stipa	muerto
31	Stipa	muerto
32	Stipa	muerto
33	Stipa	muerto
34	Stipa	muerto
35	Stipa	muerto
36	Stipa	muerto
37	Stipa	muerto
38	Stipa	muerto
39	Stipa	muerto
40	Stipa	muerto
41	Stipa	muerto
42	Stipa	muerto
1	Festuca	vivo
2	Festuca	vivo
3	Festuca	vivo
4	Festuca	vivo
5	Festuca	vivo
6	Festuca	vivo
7	Festuca	vivo
8	Festuca	vivo
9	Festuca	vivo
10	Festuca	vivo
11	Festuca	vivo
12	Festuca	vivo
13	Festuca	vivo
14	Festuca	vivo
15	Festuca	vivo
16	Festuca	vivo
17	Festuca	vivo
18	Festuca	vivo
19	Festuca	vivo
20	Festuca	vivo
21	Festuca	vivo
22	Festuca	vivo
23	Festuca	vivo
24	Festuca	vivo
25	Festuca	vivo
26	Festuca	vivo
27	Festuca	vivo
28	Festuca	vivo
29	Festuca	vivo
30	Festuca	vivo
31	Festuca	vivo
32	Festuca	vivo
33	Festuca	vivo
34	Festuca	vivo
35	Festuca	vivo
36	Festuca	vivo
37	Festuca	vivo
38	Festuca	vivo
39	Festuca	vivo
40	Festuca	vivo
41	Festuca	vivo
42	Festuca	vivo
